Обновлено 20.07.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2017 гг., рублей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;2014;;;;;;;;;;;;2015 1);;;;;;;;;;;;2016 1);;;;;;;;;;;;2017;;;;
;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май
Белгородская область;20381;19644;21027;21701;21906;22323;23129;22271;21870;22496;22588;27553;22459;21474;22816;23170;23546;24131;24620;23700;23682;24263;24016;29821;23826;22825;24472;24488;24958;25671;26183;25133;25279;25498;25143;30886;24434;24509;26211;26134;26375;27292;27670;27103;26669;26836;26720;32472;27448;26590;28697;28968;29050
Брянская область;16774;16632;17835;18264;19884;20178;19035;19198;18718;19578;19695;23961;18885;18540;19822;21232;20837;22116;20752;20240;21029;20817;20806;24668;19769;19742;20873;21412;22750;23130;21773;20952;21317;21334;21427;25132;20909;20921;21677;21797;24306;24490;22465;22701;22689;22481;22661;27210;21369;22706;23331;23591;25192
Владимирская область;18380;18563;19204;19567;19810;20352;20784;20594;20037;20825;21026;26098;20673;20429;21487;22078;22467;24203;22402;21541;22007;22429;22207;27398;22227;22307;23243;23415;23800;25783;23714;23164;23321;23702;23943;28870;23084;23341;24622;24595;25553;27588;25042;25582;26161;26897;26020;30852;24697;25369;26488;27155;27799
Воронежская область;19668;19332;20476;21749;21628;22648;22782;22057;21994;22632;23283;28195;21705;21200;22197;24081;24029;24594;24543;23425;23714;24199;24191;30172;23096;23065;23998;24638;25055;25934;25239;24790;24366;25119;25001;30123;23704;24285;25486;26397;26668;28224;26623;26513;26375;26671;27395;32755;25002;25287;27248;28035;28144
Ивановская область;16530;16782;17943;18154;18689;20228;18435;18145;18321;18985;19532;25480;18871;18601;19260;19871;20180;21951;20383;19380;20074;20662;21003;26508;20247;20253;21074;20741;21209;22876;21053;19606;20221;20623;20525;26201;19971;20531;21107;21490;22364;23857;21663;20975;21494;21823;22279;27911;20518;20917;22107;22066;23239
Калужская область;24091;23042;24701;24852;25565;26138;26261;25108;24915;26253;25670;32547;25796;25439;26519;27478;28285;28260;29032;26520;26971;28241;28382;34752;27321;27054;28207;28732;29026;30063;31233;28458;28597;29305;29641;35556;28515;29040;30467;30878;31580;32312;31772;31248;30697;31149;32237;38121;30252;30818;32259;32690;33191
Костромская область;17873;17122;17992;18849;18578;19539;19652;18685;18837;19277;19979;24379;19688;19070;19819;21013;20767;21272;21683;20035;20127;20694;20852;25560;20396;20180;20798;21838;21943;21889;22496;21178;21224;21519;21368;25720;20861;21521;21859;22814;22946;22870;23139;22912;22565;22740;23016;28269;21890;22268;22958;24458;23730
Курская область;18592;18173;19440;20783;20555;20781;22143;21248;20661;21559;21710;27544;20866;20434;21570;23112;23327;23420;24078;23039;22763;23260;22879;29183;21820;22154;22646;23497;23630;24107;24250;23561;23436;23882;23450;29823;22556;23341;23724;25442;24924;25868;25889;25117;25076;25051;25084;31641;24391;24823;25368;27162;27146
Липецкая область;19531;18843;19936;21436;20989;21838;22558;20812;20845;22816;21227;28692;20997;20175;22014;23272;23355;23836;24752;22423;22694;24623;22821;30870;21936;21680;23192;24879;24054;24794;25694;23388;23384;25612;23420;32202;22976;23101;24043;26933;25550;26659;26606;25260;24893;27076;25222;34459;25479;25139;27005;28908;28153
Московская область ;32605;32320;34035;34562;35004;36740;35778;34751;35759;36403;36494;46878;35674;35206;37407;38664;38548;40265;38916;37414;38480;39120;39423;49490;38017;37331;39084;40030;39956;41722;39880;38483;39699;40315;40169;50023;39593;39916;42053;42434;43119;46033;42169;41417;43659;43275;43694;54239;43561;42189;45688;45133;46479
