;май
Белгородская область;29050
Брянская область;25192
Владимирская область;27799
Воронежская область;28144
Ивановская область;23239
Калужская область;33191
Костромская область;23730
Курская область;27146
Липецкая область;28153
Московская область ;46479
Орловская область;24952
Рязанская область;30910
Смоленская область;26145
Тамбовская область;25300
Тверская область;27704
Тульская область;31040
Ярославская область;31069
г.Москва ;76916
Республика Карелия;35265
Республика Коми;49613
Архангельская область;46123
Ненецкий автономный округ;84418
Вологодская область;31055
Калининградская область;31157
Ленинградская область;38796
Мурманская область;56704
Новгородская область;29380
Псковская область;24331
г.Санкт-Петербург;52269
Республика Адыгея;24773
Республика Калмыкия;24551
Республика Крым;26323
Краснодарский край;31297
Астраханская область;28013
Волгоградская область;28621
Ростовская область;28256
г.Севастополь;25652
Республика Дагестан;22383
Республика Ингушетия;22760
Кабардино-Балкарская Республика;21219
Карачаево-Черкесская Республика;22836
Республика Северная  Осетия - Алания;23598
Чеченская Республика;22874
Ставропольский край;25991
Республика Башкортостан;31983
Республика Марий Эл;28832
Республика Мордовия;24727
Республика Татарстан;33377
Удмуртская Республика;30134
Чувашская Республика;24743
Пермский край;32767
Кировская область;24900
Нижегородская область;30865
Оренбургская область;29285
Пензенская область;27047
Самарская область;32260
Саратовская область;25070
Ульяновская область;26255
Курганская область;26561
Свердловская область;35985
Тюменская область;72097
Ханты-Мансийский  автономный округ;74860
Ямало-Ненецкий автономный округ;105414
Челябинская область;32727
Республика Алтай;26930
Республика Бурятия;32049
Республика Тыва;33609
Республика Хакасия;34701
Алтайский край;22504
Забайкальский край;34905
Красноярский край;42610
Иркутская область;40528
Кемеровская область;33701
Новосибирская область;33417
Омская область;30914
Томская область;43232
Республика Саха (Якутия);68590
Камчатский край;77043
Приморский край;38986
Хабаровский край;49015
Амурская область;37522
Магаданская область;79959
Сахалинская область;70052
Еврейская авт.область;35518
Чукотский авт.округ;94997
