Белгородская область;29332
Брянская область;23990
Владимирская область;27591
Воронежская область;28686
Ивановская область;22939
Калужская область;33874
Костромская область;24350
Курская область;27333
Липецкая область;29434
Московская область ;46271
Орловская область;24052
Рязанская область;28655
Смоленская область;26219
Тамбовская область;24281
Тверская область;26879
Тульская область;30732
Ярославская область;30652
г.Москва ;69847
Республика Карелия;33242
Республика Коми;43058
Архангельская область;41434
Ненецкий авт.округ;68903
Вологодская область;31629
Калининградская область;30495
Ленинградская область;38568
Мурманская область;48865
Новгородская область;28504
Псковская область;22241
г.Санкт-Петербург;53874
Республика Адыгея;23741
Республика Калмыкия;23217
Республика Крым;25879
Краснодарский край;30377
Астраханская область;28053
Волгоградская область;27302
Ростовская область;27978
г.Севастополь;25827
Республика Дагестан;20308
Республика Ингушетия;20667
Кабардино-Балкарская Республика;22328
Карачаево-Черкесская Республика;22507
Республика Северная  Осетия - Алания;22611
Чеченская Республика;21729
Ставропольский край;26975
Республика Башкортостан;30035
Республика Марий Эл;24756
Республика Мордовия;25150
Республика Татарстан;32277
Удмуртская Республика;29325
Чувашская Республика;24675
Пермский край;31347
Кировская область;24810
Нижегородская область;29402
Оренбургская область;26661
Пензенская область;26380
Самарская область;30042
Саратовская область;24259
Ульяновская область;26010
Курганская область;25657
Свердловская область;33686
Тюменская область;59737
Ханты-Мансийский  авт. округ - Югра;61508
Ямало-Ненецкий авт. округ;82769
Челябинская область;32600
Республика Алтай;24826
Республика Бурятия;31792
Республика Тыва;35262
Республика Хакасия;35184
Алтайский край;22609
Забайкальский край;34596
Красноярский край;40134
Иркутская область;37749
Кемеровская область;32191
Новосибирская область;32574
Омская область;30341
Томская область;36714
Республика Саха (Якутия);59014
Камчатский край;67622
Приморский край;36782
Хабаровский край;42085
Амурская область;38658
Магаданская область;72966
Сахалинская область;65735
Еврейская авт.область;34915
Чукотский авт.округ;87082
