241035, Брянская область, г. Брянск, Бежицкий р-н, ул. Ульянова, д. 64
385000, Республика Адыгея, г. Майкоп, ул. Курганная, д. 197
385002, Республика Адыгея, г. Майкоп, ул. Школьная, д. № 164
385011, Республика Адыгея, г. Майкоп, ул. Пионерская, д. № 379-а
385141, Республика Адыгея, Тахтамукайский район, пгт. Яблоновский, ул. Дорожная, д. №170/1
450075, Республика Башкортостан, г. Уфа, Орджоникидзевский р-н, просп. Октября, д. 117/3
450075, Республика Башкортостан, г. Уфа, Орджоникидзевский р-н, просп. Октября, д. 91/3
450103, Республика Башкортостан, г. Уфа, Кировский р-н, ул. Софьи Перовской, д. 17, корп. 1
450105, Республика Башкортостан, г. Уфа, Октябрьский р-н, ул. Юрия Гагарина, д. 44
450112, Республика Башкортостан, г. Уфа, Орджоникидзевский р-н, ул. Ульяновых, д. 49
670031, Республика Бурятия, г. Улан-Удэ, ул. Бабушкина, д. 34
670031, Республика Бурятия, г. Улан-Удэ, ул. Павлова, д. № 66А
367000, Республика Дагестан, г. Махачкала, пр-т Петра Первого, д. 16
367000, Республика Дагестан, городской округ "город Махачкала", ул. Ф. Энгельса, д. 50(а), литера А
367015, Республика Дагестан, г. Махачкала, пр-т А.Акушинского, напротив дома № 84 "а", ЗУ 6
367015, Республика Дагестан, г. Махачкала, просп. А. Акушинского, 7, на территории Махачкалинского ремзавода, ЗУ 2, литера А
368300, Республика Дагестан, г. Каспийск, ул. А. Султана, ГСК "Факел" возле Каспийскгаза
368502, Республика Дагестан, г. Избербаш, на пересечении ул. Г. Азизова и ул. Чапаева, 13/1
368502, Республика Дагестан, г. Махачкала, пр. И. Шамиля, д. 63 "а"
368608, Республика Дагестан, г. Дербент, ул. 3-го Интернационала, д. 23-в
368608, Республика Дагестан, г. Дербент, ул. 345 Дагестанской стрелковой дивизии, д. 8И
368615, Республика Дагестан, Дербентский р-н, пгт. Белиджи, ул. Шоссейная, 1 этаж, пом. №№ 1-2
386023, Республика Ингушетия, Сунженский р-н, ст-ца Орджоникидзевская, ул. Свердлова, д. 7/2
386101, Республика Ингушетия, г. Назрань, Центральный административный округ, ул. Муталиева, д. 19/1
386302, Республика Ингушетия, г. Малгобек, ул. Осканова, 26
360003, Кабардино-Балкарская Республика, г. Нальчик, ул. Ватутина, д. 8-10
360004, Кабардино-Балкарская Республика, г. Нальчик, ул. Кирова, д. 347
360004, Кабардино-Балкарская Республика, г. Нальчик, ул. Чернышевского, д. 250
360017, Кабардино-Балкарская Республика, г. Нальчик, ул. Байсултанова, д. 19/14
360024, Кабардино-Балкарская Республика, г. Нальчик, ул. Мусукаева, д. 8-10
360051, Кабардино-Балкарская Республика, г. Нальчик, ул. Ногмова/Шогенцукова, д. б/н
361045, Кабардино-Балкарская Республика, г. Прохладный, ул. Пролетарская, д. 5, 2 этаж, пом. №№ 1-3
361330, Кабардино-Балкарская Республика, Урванский р-н, г. Нарткала, ул. Шекихачева, д. 19
361534, Кабардино-Балкарская Республика, г. Баксан, ул. Революционная, д. б/н
358009, Республика Калмыкия, г. Элиста, ул. Пушкина, д. 52а, 1 этаж, пом. №№ 1-7, мансарда, пом. №№ 1-6
358014, Республика Калмыкия, г. Элиста, ул. им. Н.С. Хрущева, д. 15
369000, Карачаево-Черкесская Республика, г. Черкесск, ул. Октябрьская, д. 322
369001, Карачаево-Черкесская Республика, г. Черкесск, ул. Магазинная, д. 2
369300, Карачаево-Черкесская Республика, Усть-Джегутинский р-н, г. Усть-Джегута, ул. Курортная, р-н жилого дома № 202, участок № 2
369900, Карачаево-Черкесская Республика, г. Черкесск, пр. Ленина, д. 154б
396010, Карачаево-Черкесская Республика, г. Карачаевск, ул. Касаева, д. 8В
185011, Республика Карелия, г. Петрозаводск, ул. Торнева, д. 2, подвал, часть пом. №№ 1-2, пом. № 3
185016, Республика Карелия, г. Петрозаводск, б-р Интернационалистов, д. 20, пом. 5Н-8Н
185035, Республика Карелия, г. Петрозаводск, ул. Антикайнена, д. 34
185910, Республика Карелия, г. Петрозаводск, ул. Калинина, д. 4
186220, Республика Карелия, г. Кондопога, пр-т Калинина, д. 20
169300, Республика Коми, г. Ухта, пр. Ленина, д. 14, стр. 1
169300, Республика Коми, г. Ухта, ул. Первомайская, д. 24г
169313, Республика Коми, г. Ухта, пр. Космонавтов, д. 40
169319, Республика Коми, г. Ухта, пр-т Ленина, д. 53б
169500, Республика Коми, г. Сосногорск, ул. Вокзальная, д. 55
430004, Республика Мордовия, г. Саранск, Пролетарский район, ул. Войнова, д. 3А
430005, Республика Мордовия, г. Саранск, Ленинский р-н, ул. Б. Хмельницкого, 35, пом. 11
430009, Республика Мордовия, г. Саранск, Октябрьский район, ул. Севастопольская, д. 68 А
362027, Республика Северная Осетия-Алания, г. Владикавказ, Кирова ул./ Тамаева ул., д. 56-58/43
420032, Республика Татарстан, г. Казань, ул. Краснококшайская, д. 125А
420034, Республика Татарстан, г. Казань, ул. Декабристов, д. 131А
420034, Республика Татарстан, г. Казань, ул. Декабристов, д. 133
420037, Республика Татарстан, г. Казань, ул. Беломорская, д. 22
420061, Республика Татарстан, г. Казань, ул. Сеченова, д. 3А, пом. 1005
420080, Республика Татарстан, г. Казань, ул. Волгоградская, д. 2а
