Республика Башкортостан, г. Октябрьский, ул. Шашина, д. 4
Республика Башкортостан, г. Салават, ул. Ленина, д. 41а
Республика Башкортостан, г. Уфа, Орджоникидзевский р-н, пр-т Октября, д. 91/3
Республика Бурятия, г. Улан-Удэ, ул. Калинина, д. 17А, стр. 1
Кабардино-Балкарская Республика, Баксанский р-н, с. Дугулубгей, ул. Баксанская, стр. б/н
Кабардино-Балкарская Республика, Терский р-н, г. Терек, ул. Лермонтова, д. 85 "а"
Кабардино-Балкарская Республика, г. Баксан, ул. Толстого, д. 2
Кабардино-Балкарская Республика, г. Нальчик, пр-т Кулиева, д. 2
Кабардино-Балкарская Республика, г. Нальчик, пр-т Ленина, д. 14, пом. Пирожковой
Кабардино-Балкарская Республика, г. Нальчик, ул. Б. Хмельницкого, д. 41, пом. 646 "Г"
Кабардино-Балкарская Республика, г. Нальчик, ул. Мальбахова, д. 28
Кабардино-Балкарская Республика, г. Нальчик, ул. Мечникова, д. 173-175
Кабардино-Балкарская Республика, г. Нальчик, ул. Пушкина, д. 58-а
Кабардино-Балкарская Республика, г. Нальчик, ул. Шогенцукова, д. 34-а, пом. 1
Кабардино-Балкарская Республика, г. Нарткала, ул. Шекихачева, д. 15
Республика Калмыкия, г. Элиста, 3-ий мкр-н, д. 14Б
Республика Калмыкия, г. Элиста, 8-ой мкр-н, д. 49А
Республика Калмыкия, г. Элиста, ул. В.И. Ленина, д. 228А
Республика Калмыкия, г. Элиста, ул. Ю. Клыкова, д. 144а
Республика Калмыкия, г.Элиста, 3-ий мкр-н, д. 20В
Республика Калмыкия, г.Элиста, 6-ой мкр-н, д. 3а
Республика Коми, г. Сыктывкар, пр. Октябрьский, д. 49/1
Республика Марий Эл, Звениговский р-н, г. Звенигово, ул. Вечеркина, д. 16
Республика Мордовия, Рузаевский р-н, г. Рузаевка, ул. Ленина, д. 73
Республика Саха (Якутия), г. Якутск, ул. Лермонтова, д. 66
Республика Саха (Якутия), г. Якутск, ул. Ломоносова, д. 45
Республика Саха (Якутия), г. Якутск, ул. Пояркова, д. 14
Республика Саха (Якутия), г. Якутск, ул. Ф. Попова, д. 8
Республика Северная Осетия-Алания, Кировский р-н, с. Эльхотово, ул. Кирова, д. 207
Республика Северная Осетия-Алания, Пригородный р-н, Камбилеевская Администрация сельских поселений, с. Камбилеевское, ул. Ю. Кучиева, д. 16
Республика Северная Осетия-Алания, г. Владикавказ, Ватутина ул./Братьев Щукиных ул., д. 76/2
Республика Северная Осетия-Алания, г. Владикавказ, Мичурина ул./Тельмана ул., д. 71 "а"/39 "а"
Республика Северная Осетия-Алания, г. Владикавказ, пр-т Доватора, д. 2
Республика Северная Осетия-Алания, г. Владикавказ, пр-т Коста, д. 182
Республика Северная Осетия-Алания, г. Владикавказ, пр-т Коста, д. 228
Республика Северная Осетия-Алания, г. Владикавказ, пр-т Коста, д. 228
Республика Северная Осетия-Алания, г. Владикавказ, ул. А. Кесаева/ул. Весенняя, д. 38/40
Республика Северная Осетия-Алания, г. Владикавказ, ул. Владикавказская, д. 47
Республика Северная Осетия-Алания, г. Владикавказ, ул. Генерала Дзусова, д. 7 "а"
Республика Северная Осетия-Алания, г. Владикавказ, ул. Кесаева, д. 152
