358019, Республика Адыгея, г. Майкоп, ул. Шоссейная, д. № 2А
385000, Республика Адыгея, г. Майкоп, ул. Жуковского/ул. Пролетарская, д. 29/д. 219
385000, Республика Адыгея, г. Майкоп, ул. Краснооктябрьская, д. 45 а
385000, Республика Адыгея, г. Майкоп, ул. Ленина, 43 А
385006, Республика Адыгея, г. Майкоп, ул. Калинина, № 210, литер Ч 1
385007, Республика Адыгея, г. Майкоп, ул. 2-я Хакурате, д. 4
385011, Республика Адыгея, г. Майкоп, ул. Депутатская, д. 7
385011, Республика Адыгея, г. Майкоп, ул. Пионерская, д. 389, корп. 1, Лит. "а1"
385012, Республика Адыгея, г. Майкоп, ул. Шовгенова/ ул. Лесная, д. 1 А
385020, Республика Адыгея, г. Майкоп, ул. Пролетарская, д. 269
385132, Республика Адыгея, Тахтамукайский район, пгт. Энем, ул. Чкалова, д. № 15а
385140, Республика Адыгея, Тахтамукайский район, поселок ГТ Яблоновский, ул. Дорожная, д. 7/1
385200, Республика Адыгея, г. Адыгейск, пр. В.И. Ленина, д. № 26Б/1
385601, Республика Адыгея, Гиагинский район, ст-ца Гиагинская, ул. Красная, д. 266А
450075, Республика Башкортостан, г. Уфа, Орджоникидзевский р-н, просп. Октября, д. 91/3
450076, Республика Башкортостан, г. Уфа, Ленинский район, ул. Гоголя, д. 60/1
450077, Республика Башкортостан, г. Уфа, Ленинский район, ул. Коммунистическая, д. 45/3
450105, Республика Башкортостан, г. Уфа, Октябрьский район, ул. Юрия Гагарина, д. 31, корп. 2
452600, Республика Башкортостан, г.Октябрьский, Островского ул., д.6, корп.2
452613, Республика Башкортостан, г. Октябрьский, ул. Шашина, д. 4
452683, Республика Башкортостан, г. Нефтекамск, просп. Юбилейный, д. 17 "А"
453120, Республика Башкортостан, г. Стерлитамак, ул. Коммунистическая, д.71
453263, Республика Башкортостан, г. Салават, Ленина ул, д. 41а
670000, Республика Бурятия, г. Улан-Удэ, ул. Ленина, д. № 16
670009, Республика Бурятия, г. Улан-Удэ, ул. Хоринская, д. 1Д
670031, Республика Бурятия, г. Улан-Удэ, ул. Терешковой, д. 20Б
670034, Республика Бурятия, г. Улан-Удэ, пр. 50 лет Октября, д. 8А
670034, Республика Бурятия, г. Улан-Удэ, ул. Революции 1905 г., д. 42
670042, Республика Бурятия, г. Улан-Удэ, ул. Калашникова, д. 17
367000, Республика Дагестан, г. Махачкала, А. Султана, № 10 "а"
367000, Республика Дагестан, г. Махачкала, просп. Петра Первого, 16
367000, Республика Дагестан, г. Махачкала, ул. Ермошкина, 85
367013, Республика Дагестан, г. Махачкала, просп. Гамидова, д. 18 "д"
