Республика Адыгея, г. Майкоп, ул. Пролетарская, д. 2
Республика Адыгея, г. Майкоп, ул. Пролетарская, д. 236-Б
Республика Карелия, г. Петрозаводск, пр-т Ленина, д. 27, пом. 1
167001, Республика Коми, г.Сыктывкар, пр-т Октябрьский, д. 49/1
Республика Мордовия, г. Саранск, Ленинский р-н, пр-т 50 лет Октября, д. 13А
Республика Мордовия, г. Саранск, Октябрьский р-н, ул. Косарева, территория северо-восточного рынка
Республика Мордовия, г. Саранск, Пролетарский р-н, ул. Н. Эркая, д. 8А
Республика Татарстан, г. Казань, ул. Декабристов, д. 133
Республика Татарстан, г. Казань, ул. Дементьева, д. 22
Республика Татарстан, г. Казань, ул. Липатова, д. 7
Республика Татарстан, г. Казань, ул. Юлиуса Фучика, д. 107
Республика Татарстан, г. Набережные Челны, пр-т Вахитова, д. 24 (30/02)
Республика Татарстан, г. Нижнекамск, пр-т Мира, д. 61 А
Республика Татарстан, г. Нижнекамск, ул. Кайманова, д. 9, пом. 1002
420080, Республика Татарстан, г. Казань, ул. Волгоградская, д. 2 а
420126, Республика Татарстан, г. Казань, пр-т Ямашева, д. 51Б
Республика Хакасия, г. Абакан, ул. Тараса Шевченко, д. 67, пом. 2Н
655010, Республика Хакасия, г. Абакан, ул. Торговая, д. 5, Литера А2/4
Чувашская Республика, г. Чебоксары, б-р купца Ефремова, д. 3
Чувашская Республика, г. Чебоксары, ул. Гагарина, д. 1
Чувашская Республика, г. Чебоксары, ул. Ярославская, д. 29
Алтайский край, г. Барнаул, ул. Энтузиастов, д. 14
Краснодарский край, Апшеронский р-н, г. Апшеронск, ул. Ленина, д. 22-в
Краснодарский край, Динской р-н, ст-ца Динская, ул. Луначарского, д. 27
Краснодарский край, Кореновский р-н, г. Кореновск, ул. Красная, д. 154
Краснодарский край, Кущевский р-н, ст-ца Кущевская, ул. Октябрьская, д. 25
Краснодарский край, Ленинградский р-н, ст-ца Ленинградская, ул. Крестьянская, д. 184
Краснодарский край, Тимашевский р-н, г/п Тимашевское, г. Тимашевск, ул. Ленина, д. 120А/2
Краснодарский край, Усть -Лабинский р-н, г. Усть-Лабинск, ул. Коммунистическая, д. 116А
Краснодарский край, г. Геленджик, ул. Шевченко, д. 24а
Краснодарский край, г. Горячий Ключ, ул. Урусова, д. 65
Краснодарский край, г. Краснодар, Западный округ, ул. Северная/им. Тургенева, д. 231/37
Краснодарский край, г. Краснодар, Прикубанский  внутригородской округ, ул. Красных Партизан/пр 3-й Линии, д. 249
Краснодарский край, г. Краснодар, Центральный округ, ул. Северная, д. 381
Краснодарский край, г. Новороссийск, ул. Героев Десантников, р-н жилого дома 89
Краснодарский край, г. Сочи, Адлерский район, п. Красная Поляна, ул. Защитников Кавказа, д. 62
Краснодарский край, г. Сочи, Хостинский р-н, п. Хоста, ул. Платановая, д. 6а
Краснодарский край, город-курорт Анапа, ул. Крымская/Красноармейская, д 17/184
Краснодарский край, город-курорт Анапа, ул. Некрасова, д. 112
Красноярский край, г. Красноярск, Советский район, ул. Ястынская, д. 16, лит. "Б1", пом. 1, этаж подвал
Красноярский край, г. Красноярск, пр-т Мира, д. 45 "Г", пом. 1
Красноярский край, г. Красноярск, ул. Аэровокзальная, зд. 1 "Г", пом. 8
660118, Красноярский край, г. Красноярск, ул. 9 Мая, зд. 45 "Г"
Ставропольский край, г. Георгиевск, ул. Октябрьская-Гагарина, д. 81-83/119
Ставропольский край, г. Георгиевск, ул. Пятигорская-Тимирязева, д. 13/1
Ставропольский край, г. Железноводск, пос. Иноземцево, ул. Баталинская, д. 30
680000, Хабаровский край, г. Хабаровск, ул. Истомина, д. 49, лит. Б
680000, Хабаровский край, г. Хабаровск, ул. Калинина, д. 27А
Астраханская область, г. Астрахань, ул. Адмирала Нахимова, д. 93б
Астраханская область, г. Астрахань, ул. Свердлова/ул. Кирова/ул. Эспланадная, дом 26-28/7/17-19, лит. А
Белгородская область, г. Белгород, Народный б-р, д. 82
308000, Белгородская область, г. Белгород, ул. 50-летия Белгородской области, д. 17Б
308007, Белгородская область, г. Белгород, ул. Мичурина, д. 60
308024, Белгородская область, г. Белгород, ул. Костюкова, д. 9
308519, Белгородская область, пос. Северный, ул. Шоссейная, д. 23
Брянская область, г. Брянск, Володарский р-н, ул. Димитрова, д. 72
Владимирская область, г. Гусь-Хрустальный, ул. Октябрьская, д. 57
400001, Волгоградская область, г. Волгоград, ул. Рабоче-Крестьянская, д. 10
400117, Волгоградская область, г. Волгоград, бульвар 30-летия Победы, д. 39А
400121, Волгоградская область, г. Волгоград, ул. им. Николая Отрады, д. 22а
394026, Воронежская область, г. Воронеж, Коминтерновский район, Московский пр-т, д. 7 е
