Республика Татарстан, г. Набережные Челны, д. 47 (13/15), (ул. Ш. Усманова)
Приморский край, г. Артем, ул. Кирова, 53
Приморский край, г. Артем, ул. Фрунзе, д. 54Г
Приморский край, г. Большой Камень, ул. Академика Курчатова, д. 12
Приморский край, г. Владивосток,  ул. Тобольская, д. 10
Приморский край, г. Владивосток, Океанский проспект, д. 111
Приморский край, г. Владивосток, проспект 100 лет Владивостоку, 54 А
Приморский край, г. Владивосток, проспект Красного Знамени, д. 86
Приморский край, г. Владивосток, ул. Добровольского, д. 5
Приморский край, г. Владивосток, ул. Калинина, д. 12
Приморский край, г. Владивосток, ул. Луговая, д. 85В
Приморский край, г. Владивосток, ул. Посьетская, д. 11
Приморский край, г. Владивосток, ул. Русская, д. 74А
Приморский край, г. Спасск-Дальний, ул. Ленинская, д. 23А
Приморский край, г. Уссурийск, ул. Краснознаменная, д. 148-а
Приморский край, г. Уссурийск, ул. Пролетарская, д. 3
692922, Приморский край, г. Находка, ул. Советская, 9А
Ставропольский край, с. Кочубеевское, ул. Гагарина, д. 64
357500, Ставропольский край, г. Пятигорск, ул. Украинская, д. 63А
Хабаровский край, г. Хабаровск, ул. Суворова, д.12
Брянская область, г. Брянск, проспект Московский, д. 5
Брянская область, г. Брянск, ул. Тельмана, д. 68 а
241028, Брянская область, г. Брянск, Советский район, просп. Станке Димитрова, д. 45
241028, Брянская область, г. Брянск. Бежицкий район, ул. Орловская, д. 1
396650, Воронежская область, г. Россошь, ул. Пролетарская, д. 88
603098, Нижегородская область, г. Нижний Новгород, ул. Артельная, д. 29, пом. 2, 3, 4, 5.
Ростовская область, г. Зерноград, ул. им. Чкалова, д. 39/67
Самарская область, г. Тольятти, просп. Степана Разина, д. 16б
Челябинская область, г. Снежинск, ул. Свердлова, д. 17
