Приморский край, г. Артем, ул. Фрунзе, д. 54Г
Приморский край, г. Большой Камень, ул. Академика Курчатова, д. 12
Приморский край, г. Владивосток,  ул. Тобольская, д. 10
Приморский край, г. Владивосток, Океанский проспект, д. 111
Приморский край, г. Владивосток, ул. Калинина, д. 12
Приморский край, г. Владивосток, ул. Луговая, д. 85В
Приморский край, г. Владивосток, ул. Посьетская, д. 11
Приморский край, г. Владивосток, ул. Русская, д. 74А
Приморский край, г. Находка, ул. Рыбацкая, д. 9А
Приморский край, г. Уссурийск, ул. Краснознаменная, д. 148-а
Приморский край, г. Уссурийск, ул. Ленинградская, д. 29А
Приморский край, г. Уссурийск, ул. Пролетарская, д. 3
Хабаровский край, г. Хабаровск, ул. Суворова, д.12
603098, Нижегородская область, г. Нижний Новгород, ул. Артельная, д. 29, пом. 2, 3, 4, 5.
