000000, Республика Башкортостан, г. Салават, ул. Губайдуллина, д. 5а
450112, Республика Башкортостан, г. Уфа, Орджоникидзовский район, ул. Ульяновых, д. 49
000000, Республика Дагестан, г. Избербаш, ул. Громова, д. 8
000000, Кабардино-Балкарская Республика, г. Нальчик, ул. Байсултанова, д. 19/14
000000, Карачаево-Черкесская Республика, г. Черкесск, ул. Балахонова, д. № 46
000000, Карачаево-Черкесская Республика, г. Черкесск, ул. Космонавтов, д. № 5Б
000000, Республика Коми, г. Ухта, ул. Первомайская, д. 24г
000000, Республика Саха (Якутия), г. Якутск, ул. Дзержинского, д. 52/2
000000, Республика Татарстан, г. Казань, просп. Ямашева, д. 50а
000000, Республика Татарстан, г. Казань, ул. Декабристов, д. 133В
000000, Республика Татарстан, г. Казань, ул. Пушкина, д. 23
000000, Республика Татарстан, г. Нижнекамск, ул. Сююмбике, д. 74, кв. 9Н
000000, Республика Татарстан, г. Чистополь, ул. К. Маркса, д. 94Е
000000, Краснодарский край, г. Армавир, ул. Мира, д. 18/1
000000, Краснодарский край, г. Ейск, ул. Плеханова, д. 15/4
000000, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Уральская, д. № 156/2
000000, Краснодарский край, г. Краснодар, Центральный округ, ул. Ставропольская, 126
000000, Краснодарский край, г. Кропоткин, ул. Дугинец, д. № 48
000000, Краснодарский край, город-курорт Анапа, ул. Крепостная, д. 68
352120, Краснодарский край, Тихорецкий район, г. Тихорецк, ул. Энгельса, д. 113
353680, Краснодарский край, г. Ейск, ул. Ленина, д. 42
353691, Краснодарский край, г. Ейск, ул. Красная, д. 47а
353912, Краснодарский край, г. Новороссийск, ул. Видова, д. 32
354065, Краснодарский край, г. Сочи, Центральный район, ул. Гагарина, д. 27/1
000000, Красноярский край, г. Норильск, ул. Вокзальная, зд. 2-а
000000, Приморский край, ЗАТО, г. Большой Камень, ул. Гагарина, д. 51
000000, Приморский край, г. Владивосток, ул. Светланская, 189
000000, Приморский край, г. Уссурийск, ул. Ленинградская, 29 А
692001, Приморский край, Пожарский район, п. Лучегорск, мкр-н 3, д. 32
692525, Приморский край, г. Уссурийск, ул. Советская, д. 100
000000, Ставропольский край, г. Буденновск, ул. Борцов Революции, д. 267А
000000, Ставропольский край, г. Георгиевск, ул. Советская, 24а
000000, Ставропольский край, г. Пятигорск, станица Константиновская, ул. Октябрьская, 112а
000000, Ставропольский край, г. Пятигорск, ул. Адмиральского, д. 35, корп. 1
000000, Ставропольский край, г. Пятигорск, ул. Бутырина, д. 1
355003, Ставропольский край, г. Ставрополь, ул. Ломоносова, д. 23
355031, Ставропольский край, г. Ставрополь, ул. Серова, д. 291
355042, Ставропольский край, г. Ставрополь, ул. 50 лет ВЛКСМ, д. 24б
357500, Ставропольский край, г. Пятигорск, пр-т Кирова, д. 47/60
357600, Ставропольский край, г. Ессентуки, ул. Интернациональная, д. 26
357635, Ставропольский край, г. Ессентуки, р-н пересечения ул. Октябрьская и 60 лет Октября
357821, Ставропольский край, г. Георгиевск, ул. Салогубова, д. 20
000000, Хабаровский край, г. Хабаровск, ул. Дзержинского, д. 28
680009, Хабаровский край, г. Хабаровск, ул. Карла Маркса, д. 108
680021, Хабаровский край, г. Хабаровск, ул. Дикопольцева, д. 26, пом. I (1-37), в том числе I (6)
680030, Хабаровский край, г. Хабаровск, ул. Ленина, д. 18В, пом. I (11-13)
681013, Хабаровский край, г. Комсомольск-на-Амуре, ул. Кирова, 54, лит. А
000000, Амурская область, г. Белогорск, ул. Кирова, д. 124
000000, Архангельская область, г. Северодвинск, ул. Карла Маркса, д. 5А
000000, Белгородская область, Борисовский р-н, пос. Борисовка, ул. Первомайская, д. 72
000000, Белгородская область, г. Белгород, пр-т Б. Хмельницкого, д. 132а
000000, Белгородская область, г. Белгород, пр. Б. Хмельницкого, д. 82
000000, Белгородская область, г. Белгород, ул. 60 лет Октября, д. 1а
000000, Белгородская область, г. Белгород, ул. Шаландина, д. 1а
000000, Белгородская область, г. Белгород, ул. Щорса, д. 39а
000000, Брянская область, г.  Брянск, Бежицкий р-н, ул. Нахимова, д. 112
000000, Брянская область, г.  Брянск, Бежицкий р-н, ул. Ульянова, д. 62
000000, Брянская область, г.  Брянск, Володарский р-н, ул. Тельмана, д. 68 А
000000, Брянская область, г.  Брянск, Советский р-н, ул. Пересвета, д. 2
000000, Брянская область, г.  Брянск, Фокинский р-н, ул. Чапаева, д. 6А
000000, Брянская область, г.  Брянск, ул. Ростовская, д. 12
000000, Брянская область, г. Брянск, Советский р-н, ул. Емлютина, д. 44
000000, Брянская область, г. Брянск, Советский р-н, ул. Красноармейская, д. 154
000000, Брянская область, г. Брянск, Советский р-н, ул. Луначарского, д. 60
000000, Брянская область, г. Брянск, Фокинский р-н, Московский пр-т, д. 81В
000000, Владимирская область, г. Кольчугино, ул. Ленина, д. 34
000000, Владимирская область, р-н Александровский, МО город Александров (городское поселение), г. Александров, ул. Ануфриева, д. 9
600009, Владимирская область, г. Владимир, ул. Суздальская, д. 11
000000, Волгоградская область, г. Волгоград, пр-т Канатчиков, 20А
000000, Волгоградская область, г. Камышин, ул. Ленина, д. 9, в 55м. юго-западнее КРЦ "Победа"
000000, Волгоградская область, г. Камышин, ул. Пролетарская, д. 43, помещение 2
153005, Ивановская область, г. Иваново, ул. Шошина, д. 8А
000000, Калининградская область, г. Калининград, ул. Черняховского, д. 15
000000, Калужская область, г. Калуга, ул. Московская, д. 352
000000, Калужская область, г. Калуга, ул. Нефтебаза, д. 1А
000000, Калужская область, г. Обнинск, ул. Курчатова, д. 41 а
000000, Кемеровская область, г. Кемерово, ул. Терешковой, д. 22а, пом. 2
000000, Кировская область, г. Киров, ул. Карла Либкнехта, д. 119
000000, Костромская область, г. Шарья, ул. 50 лет Советской Власти, д. 10, здание производственного корпуса
305004, Курская область, г. Курск, ул. Садовая, д. 5
305007, Курская область, г. Курск, ул. Сумская, д. 37Б, корп. 1 и 2
305021, Курская область, г. Курск, ул. Кавказская, д. 41а
305025, Курская область, г. Курск, пр. Магистральный, д. 17-а
305048, Курская область, г. Курск, пр. Энтузиастов, д. 1б
306230, Курская область, г. Обоянь, ул. Ленина, д. 33
307176, Курская область, г. Железногорск, мкр-н 7-11, пр. Дружбы, зд. № 4
000000, Ленинградская область, г. Гатчина, ул. 7 Армии, д. 22
188800, Ленинградская область, г. Выборг, Московский пр-т, д. 22/5
000000, Липецкая область, г. Елец, ул. Коммунаров, д. 2
000000, Липецкая область, г. Елец, ул. Лучковская, д. 2
000000, Московская область, Клинский район, городское поселение Клин, г. Клин, пр. Бородинский, д. 31, стр. 2
000000, Московская область, Клинский район, городское поселение Клин, г. Клин, ул. Карла Маркса, д. 6, стр. 1
000000, Московская область, Люберецкий район, г. Люберцы, Октябрьский проспект, д. 193
000000, Московская область, Люберецкий район, г. Люберцы, ул. 8 Марта, д. 61
000000, Московская область, Люберецкий район, пос. Томилино, 2-й км. Егорьевского шоссе, д. 1, пом. № II, комн. 56
000000, Московская область, Одинцовский р-н, г. Голицино, Звенигородское шоссе, д. 2а
000000, Московская область, Сергиево-Посадский муниципальный район, городское поселение Сергиев Посад, г. Сергиев Посад, проспект Красной Армии, д. 158
000000, Московская область, Серебряно-Прудский район, р.п. Серебряные Пруды, пл. Советская, д. 5
000000, Московская область, Солнечногорский р-н, г. Солнечногорск, ул. Красная, вл. 3, корп. 3
000000, Московская область, г. Волоколамск, Рижское шоссе, д. 4А
000000, Московская область, г. Волоколамск, ул. Ново-Солдатская, д. 1 а
000000, Московская область, г. Долгопрудный, пр-т Пацаева, д. 7, корп. 1, пом. 1
000000, Московская область, г. Домодедово, мкр-н Авиационный, проспект Академика Туполева, д. 2а
000000, Московская область, г. Домодедово, мкр-н Центральный, ул. Корнеева, д. 1
000000, Московская область, г. Жуковский, ул. Гагарина, д. 85Б, пом. 16
000000, Московская область, г. Клин, Привокзальная площадь, д. 1
000000, Московская область, г. Коломна, пл. Восстания, д. 10
000000, Московская область, г. Коломна, пр-кт Кирова, д. 54а, пом. 3
000000, Московская область, г. Коломна, ул. Ленина, д. 83
000000, Московская область, г. Коломна, ул. Октябрьской революции, д. 344б
000000, Московская область, г. Люберцы, ул. Воинов Интернационалистов, д. 15 "А"
000000, Московская область, г. Одинцово, Привокзальная площадь, 1 "Б"
000000, Московская область, г. Орехово-Зуево, ул. Ленина, д. 97
000000, Московская область, г. Раменское, ул. Советская, д. 16
000000, Московская область, г. Раменское, ул. Чугунова, д. 8
000000, Московская область, г. Сергиев Посад, пл. Вокзальная, д. 3а
000000, Московская область, г. Сергиев Посад, ул. Карла Маркса, д. 7
000000, Московская область, г. Сергиев-Посад, проспект Красной Армии, д. 171
