385000, Республика Адыгея, г. Майкоп, ул. Депутатская, д. 16
385007, Республика Адыгея, г. Майкоп, ул. Пролетарская, д. 2
450000, Республика Башкортостан, г. Уфа, ул. Коммунистическая, д. 50/1
452600, Республика Башкортостан, г. Октябрьский, ул. Садовое кольцо, д. 130
452683, Республика Башкортостан, г. Нефтекамск, пр-т Юбилейный, д. 15б
452683, Республика Башкортостан, г. Нефтекамск, ул. Парковая, д. 23
453124, Республика Башкортостан, г. Стерлитамак, ул. Комсомольская, д. 5
453505, Республика Башкортостан, г. Белорецк, б-р Кирова, д. 46
453700, Республика Башкортостан, г. Учалы, ул. Ленина, д. 8
367000, Республика Дагестан, г. Махачкала, пр-т Петра I, д. 16, корп. "а"
367000, Республика Дагестан, г. Махачкала, ул. И. Казака д. 4б
367000, Республика Дагестан, г. Махачкала, ул. Коркмасова, д. 14
367010, Республика Дагестан, г. Махачкала, ул. Венгерских Бойцов, д. 125 "а"
367013, Республика Дагестан, г. Махачкала, пр-т Гамидова, д. 1 "е"
367015, Республика Дагестан, г. Махачкала, пр-т А. Акушинского, д. 29 "а"
367026, Республика Дагестан, г. Махачкала, пр. И. Шамиля, д. 40 "а"
368300, Республика Дагестан, г. Каспийск, ул. Назарова, д.11 "Г"
368502, Республика Дагестан, г. Избербаш, ул. Буйнакского, д. 34 "д"
368608, Республика Дагестан, г. Дербент, ул. Кобякова, д. 7-б
368608, Республика Дагестан, г. Дербент, ул. Таги-Заде, д. 79
424031, Республика Марий Эл, г. Йошкар-Ола, б-р Чавайна, д. 36
424033, Республика Марий Эл, г. Йошкар-Ола, Ленинский пр-т, д. 20в
362047, Республика Северная Осетия-Алания, г. Владикавказ, ул. Морских Пехотинцев, д. 5
420066, Республика Татарстан, г. Казань, ул. Четаева, напротив д. 44
420111, Республика Татарстан, г. Казань, ул. Пушкина, д.17а
420126, Республика Татарстан, г. Казань, ул. Фатыха Амирхана, д. 1Б
422544, Республика Татарстан, г. Зеленодольск, ул. К. Маркса, д. 39 "А"
423232, Республика Татарстан, г. Бугульма, ул. Якупова, д. 31
423570, Республика Татарстан, г. Нижнекамск, ул. Корабельная, д. 33
423578, Республика Татарстан, г.Нижнекамск, пр-т Химиков, д. 18, корп. 2
426057, Удмуртская Республика, г. Ижевск, ул. М. Горького, д. 54
426060, Удмуртская Республика, г. Ижевск, ул. 9 января, д. 211
426068, Удмуртская Республика, г. Ижевск, ул. им. Петрова, д. 4
427433, Удмуртская Республика, г. Воткинск, ул. Орджоникидзе, д. 23б
427620, Удмуртская Республика, г. Глазов, ул. Сулимова, д. 73а
427790, Удмуртская Республика, г. Можга, ул. Наговицына, д. 80
428032, Чувашская Республика, г. Чебоксары, ул. Композиторов Воробьевых, д. 20
429955, Чувашская Республика, г. Новочебоксарск, ул. Винокурова, зд. 103
333691, Краснодарский край, г. Ейск, ул. Коммунистическая, д. 67
350000, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Красных Партизан, д. 319
350000, Краснодарский край, г. Краснодар, Центральный округ, ул. Выставочная, д. 14
350000, Краснодарский край, г. Краснодар, Центральный округ, ул. Карасунская, д. 98/ул. им. Седина, д. 77
350000, Краснодарский край, г. Краснодар, Центральный округ, ул. Красноармейская, д. 45
350000, Краснодарский край, г. Краснодар, ул. Красная, д. 190/1
350000, Краснодарский край, г. Краснодар, ул. Красных Партизан, д. 493
350000, Краснодарский край, г. Краснодар, ул. Северная д. 315
350000, Краснодарский край, г. Краснодар, ул. Сормовская, д. 7/5
350000, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 268/2
350000, Краснодарский край, г. Краснодар, ул. Ставропольская\Таманская, д. 202а/148
350000, Краснодарский край, г. Краснодар, ул. Уральская, д. 152/4
350001, Краснодарский край, г. Краснодар, Центральный округ, ул. Ставропольская, д. 220/1, стр. 3
350021, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Трамвайная, д. 2/16
350040, Краснодарский край, г. Краснодар, ул. Бургасская, д. 13/1
350061, Краснодарский край, г. Краснодар, ул. им. Мачуги В.Н. д. 18
350062, Краснодарский край, Центральный внутригородской круг, г. Краснодар, пер. Костычева, д. 8
350072, Краснодарский край, г. Краснодар, Прикубанский округ, ул. им. 40-летия Победы, д. 148/5
350089, Краснодарский край, г. Краснодар, Западный округ, пр. Чекистов, д. 27
350916, Краснодарский край, г. Краснодар, Прикубанский округ, ст-ца Елизаветинская, ул. Степная, д. 450
352030, Краснодарский край, ст. Кущёвская, ул. Ленина, д. 21
352128, Краснодарский край, г. Тихорецк, ул. Подвойского, д. 20
352750, Краснодарский край, Брюховецкий р-н, ст-ца Брюховецкая ул. Калинина 61
352900, Краснодарский край, г. Армавир, ул. Карла Либкнехта, д. 61
352900, Краснодарский край, г. Армавир, ул. Советской Армии д. 25
353182, Краснодарский край, г. Кореновск, ул. Циолковского, д. 1б
353320, Краснодарский край, Абинский р-н, г. Абинск, ул. Советов, д. 63
353440, Краснодарский край, г- к Анапа, ул. Красноармейская, д. 28д
353460, Краснодарский край, г. Геленджик, Сухумское шоссе, 3 км
353730, Краснодарский край, Каневский р-н, ст-ца Каневская, ул. Нестеренко, д. 81
353740, Краснодарский край, Ленинградский р-н, ст-ца Ленинградская, пер. Базарный, д. 28
353900, Краснодарский край, Центральный р-н, г. Новороссийск, ул.Чайковского/Видова, д. 9/29
353915, Краснодарский край, г. Новороссийск, ул. Снайпера Рубахо, д. 8
354000, Краснодарский край, г.Сочи, Центральный р-н, ул. Егорова, д. 3/2
660010, Красноярский край, г. Красноярск, пр-т им. газеты "Красноярский Рабочий", д. 152Г, стр. 2
660062, Красноярский край, г. Красноярск, ул. Высотная, д. 2Ж
660077, Красноярский край, г. Красноярск, ул. Взлетная, д. 6А
355008, Ставропольский край, г. Ставрополь, пр-т К. Маркса, д. 42
356800, Ставропольский край, г. Будённовск, пр-т Чехова, д. 308В
356802, Ставропольский край, г. Буденновск, ул. Красная, д. 240
357501, Ставропольский край, г. Пятигорск, ул. Дзержинского, д. 40/ул. Октябрьская д. 1
357600, Ставропольский край, г. Ессентуки, ул. Гоголя, д. 2а
357820, Ставропольский край, г. Георгиевск, ул. Калинина, д. 101/2
675000, Амурская область, г. Благовещенск, ул. Амурская, д. 108
675000, Амурская область, г. Благовещенск, ул. Институтская, д. 6/1
675000, Амурская область, г. Благовещенск, ул. Красноармейская/Пионерская, д. 102/49, пом. 19
414000, Астраханская область, г. Астрахань, Кировский район, ул. Тургенева/ул. Эспланадная, д. 13/3, литер стр. АА
414022, Астраханская область, г. Астрахань, Советский р-н, ул. Космонавтов, д. 18, литер Г, пом. 1
414024, Астраханская область, г. Астрахань, ул. Боевая, д. 73б, литер В
414041, Астраханская область, г. Астрахань ул. Минусинская д. 9а, лит. А
308000, Белгородская область, г. Белгород, ул. 50-летия Белгородской области, д. 12
243020, Брянская область, г. Новозыбков, ул. Коммунистическая, д. 21
600001, Владимирская область, г. Владимир, ул. Студеная гора, д. 36А
600014, Владимирская область, г. Владимир, пр-т Строителей, д. 10
600015, Владимирская область, г. Владимир, ул. Ново-Ямская, д. 25А
600027, Владимирская область, г. Владимир, ул. Лескова, д. 4
601785, Владимирская область, г. Кольчугино, ул. III Интернационала, д. 2
602266, Владимирская область, г. Муром, ул. Кленовая, д. 32А
400001, Волгоградская область, г. Волгоград, ул. им. Калинина, д. 13
400006, Волгоградская область, г. Волгоград, ул. им. Шурухина, д. 22а
400040, Волгоградская область, г. Волгоград, пр-т Металлургов, д. 50а
400117, Волгоградская область, г. Волгоград, ул. им. Константина Симонова, 17, угол бульвара 30-летия Победы, д. 72А
400120, Волгоградская область, г. Волгоград, ул. Елецкая, д. 8/1
400125, Волгоградская область, г. Волгоград, ул. им. Николая Отрады, д. 13Б
404111, Волгоградская область, г. Волжский, пр. Ленина, д. 76а
404127, Волгоградская область, г. Волжский, ул. Мира, д. 42 г
162603, Вологодская область, г. Череповец, пр. Победы, д. 107/1
153000, Ивановская область, г. Иваново, ул. Смирнова, д. 7
153022, Ивановская область, г Иваново, ул. Ташкентская, д. 77 А, Литер А
153037, Ивановская область, г. Иваново, ул. Свободы, д. 50
153037, Ивановская область, г. Иваново, ул.8 Марта, д. 32
155550, Ивановская область, г Приволжск, ул. Революционная, д. 119
155900, Ивановская область, г Шуя, Центральная пл., д. 2
155900, Ивановская область, г Шуя, ул. Свердлова, д. 109 А
236023, Калининградская область, г. Калининград, ул. Маршала Борзова, д. 65а
307178, Курская область, Железногорский р-н, г. Железногорск, мкр-н 12а, ул. Сентюрева, зд. 19
398036, Липецкая область, г. Липецк, ул. А.Г. Стаханова, д. 45, встроенное нежилое помещение 1
140000, Московская область, г. Люберцы, ул. Волковская, д. 2а
140090, Московская область, г. Дзержинский, ул. Энергетиков, д. 10в
140108, Московская область, г. Раменское, ул. Советская, д. 16, ресторан "Аист"
140180, Московская область, г. Жуковский, ул. Гагарина, д. 85Б
140400, Московская область, г. Коломна, ул. Октябрьской революции, д. 227
140408, Московская область, г. Коломна, пл. Восстания, д. 10
141002, Московская область, г. Мытищи, Шараповский пр-д, д. 3А
141401, Московская область, г. Химки, Ленинский пр-т, д. 1, корп. 1
141500, Московская область, г. Солнечногорск, ул. Обуховская, д. 1
